Area,meanValue,ISO_A3,richness,NAME_LONG,INCOME_GRP,area,GNI,log_GNI,log_Richness,log_forestArea,log_import
Afghanistan,2200.15217391304,AFG,8,Afghanistan,5. Low income,167938.679486133,437.272727272727,2.64174444632478,0.954242509439325,5.22515331999702,3.34265006799915
Albania,8172.35483870968,ALB,16,Albania,4. Lower middle income,555731.530254337,4297.5,3.63331693107427,1.23044892137827,5.74486581930915,3.912400353825
Algeria,62145.421875,DZA,28,Algeria,3. Upper middle income,894768.183292135,4060,3.60863298949004,1.46239799789896,5.95171101816415,4.79341612887988
Angola,1161.17142857143,AGO,3,Angola,3. Upper middle income,38815112.3857932,2655.41666666667,3.42429619638937,0.602059991327962,7.58900085915208,3.06527019431193
Argentina,39435.203125,ARG,71,Argentina,3. Upper middle income,25471404.0809179,9103.75,3.95926802535213,1.85733249643127,7.4060529026416,4.59589509487874
Armenia,1114.74074074074,ARM,10,Armenia,4. Lower middle income,291913.534060907,3191.66666666667,3.50415357798693,1.04139268515822,5.46525571850742,3.04756329142394
Australia,33033.234375,AUS,376,Australia,1. High income: OECD,35049824.5428602,45793.3333333333,4.66081174100994,2.57634135020579,7.54468586064899,4.51896424574201
Austria,5206343.390625,AUT,439,Austria,1. High income: OECD,3818317.53714852,44250.4166666667,4.64592717877775,2.64345267648619,6.5818721558951,6.71653289254793
Azerbaijan,4188.03333333333,AZE,4,Azerbaijan,3. Upper middle income,1090436.94129562,4036.66666666667,3.60613046250194,0.698970004336019,6.03760095416984,3.62211381618006
Bahamas,15704.0158730159,BHS,1,Bahamas,2. High income: nonOECD,106723.442626882,28334.5833333333,4.45233215771653,0.301029995663981,5.02826389535978,4.19603837967497
Bangladesh,48302.2,BGD,30,Bangladesh,5. Low income,1442641.50974212,1208.33333333333,3.0825460236684,1.49136169383427,6.15915872521605,4.68397590293178
Belarus,50280.1290322581,BLR,50,Belarus,3. Upper middle income,7387600.71022555,5071.66666666667,3.70523632504487,1.70757017609794,6.86850347316317,4.70140502094261
Belgium,3901752.96,BEL,202,Belgium,1. High income: OECD,675305.31875476,42417.0833333333,4.62755104097067,2.30749603791321,5.82950081337706,6.59125987982444
Belize,2539,BLZ,15,Belize,4. Lower middle income,1616928.98236441,5383.75,3.73116554493375,1.20411998265592,6.20869121413575,3.40483371661994
Benin,11802.75,BEN,58,Benin,5. Low income,1628970.17971197,969.583333333333,2.98703282942362,1.77085201164214,6.21191340069723,4.07202000269422
Bhutan,109.685714285714,BTN,11,Bhutan,4. Lower middle income,2002878.2833172,2245,3.35140975192544,1.07918124604762,6.30165477447126,2.04409157203282
Bolivia (Plurinational State of),2872.42857142857,BOL,30,Bolivia,4. Lower middle income,55753055.4941126,2307.5,3.36332987888716,1.49136169383427,7.74626868126532,3.45840040577806
Bosnia and Herzegovina,61000.1666666667,BIH,13,Bosnia and Herzegovina,3. Upper middle income,2342280.69117122,4532.91666666667,3.65647353353655,1.14612803567824,6.36963912368452,4.78533814110995
Botswana,31610.4375,BWA,24,Botswana,3. Upper middle income,1301714.00909081,5773.75,3.76153318753031,1.39794000867204,6.1145159123988,4.49984424541639
Brazil,28984.765625,BRA,148,Brazil,3. Upper middle income,477236463.358971,7814.16666666667,3.89293824424156,2.17318626841227,8.67873361954329,4.46218477623763
Brunei Darussalam,509.885714285714,BRN,7,Brunei Darussalam,2. High income: nonOECD,717029.700205709,31191.25,4.49404670298223,0.903089986991944,5.85553775070894,2.70832375883097
Bulgaria,160064.825396825,BGR,64,Bulgaria,3. Upper middle income,3491645.61347914,6870.41666666667,3.83704628394298,1.81291335664286,6.5430302826904,5.2042986184536
Burkina Faso,552,BFA,9,Burkina Faso,5. Low income,896841.134968089,592.916666666667,2.77372551274933,1,5.95271600386242,2.7427251313047
Burundi,343.285714285714,BDI,6,Burundi,5. Low income,573868.312215195,202.916666666667,2.30945272330416,0.845098040014257,5.75881300137713,2.53691900256061
Cambodia,7922.08,KHM,26,Cambodia,5. Low income,7237549.10089898,1174.58333333333,3.07025342029554,1.43136376415899,6.85959158308695,3.89889404105635
Cameroon,1344.51612903226,CMR,22,Cameroon,4. Lower middle income,24950163.0952043,1327.5,3.1233615587463,1.36172783601759,7.39707340628836,3.12888890812558
Canada,4061534.578125,CAN,264,Canada,1. High income: OECD,312272578.51754,41735,4.62051082371432,2.42324587393681,8.49453385074621,6.6086902619076
Central African Republic,20.84375,CAF,6,Central African Republic,5. Low income,30526619.6856847,401.666666666667,2.60494567956545,0.845098040014257,7.48467873031275,1.33932719742578
Chad,287.380952380952,TCD,4,Chad,5. Low income,3103390.54842761,816.666666666667,2.91257629348672,0.698970004336019,6.49183657306847,2.4599665717581
Chile,1757.14285714286,CHL,60,Chile,3. Upper middle income,16118073.2699106,10899.1666666667,4.03743313847826,1.78532983501077,7.2073131526111,3.24505416058313
China,20057433,CHN,253,China,3. Upper middle income,118790828.492259,6024.58333333333,3.77999909708667,2.40483371661994,8.07478291493277,7.30227537180895
"China, mainland",17395927.65625,CHN,253,China,3. Upper middle income,118790828.492259,6024.58333333333,3.77999909708667,2.40483371661994,8.07478291493277,7.24044761787922
Colombia,2630.23529411765,COL,107,Colombia,3. Upper middle income,77352153.4376862,5292.91666666667,3.72377710064276,2.03342375548695,7.88847241431681,3.4201596859298
Congo,206.967741935484,COG,6,Republic of the Congo,4. Lower middle income,24355026.991186,2004.16666666667,3.30215047641027,0.845098040014257,7.38658863304187,2.31799597637683
Costa Rica,3016.24137931035,CRI,63,Costa Rica,3. Upper middle income,3477590.549779,8449.58333333334,3.92688668879629,1.80617997398389,6.54127857188924,3.47961005512336
Côte d'Ivoire,4763.91304347826,CIV,44,Côte d'Ivoire,4. Lower middle income,11182895.7479773,1381.25,3.14058659861077,1.65321251377534,7.04855431506295,3.67805497945868
Croatia,94051.0606060606,HRV,110,Croatia,2. High income: nonOECD,2063643.08318003,12740.4166666667,4.10521771813364,2.04532297878666,6.31463479661809,4.97336831503832
Cuba,6604.18,CUB,25,Cuba,3. Upper middle income,3153794.37845776,5444.5,3.73603776237858,1.41497334797082,6.49883351242679,3.81988465721801
Cyprus,4508.703125,CYP,16,Cyprus,2. High income: nonOECD,68773.007756899,25874.1666666667,4.41288315584393,1.23044892137827,4.83742433328474,3.65414795309348
Czechia,1170881.125,CZE,135,Czech Republic,1. High income: OECD,2598149.37461226,17320.8333333333,4.23859385560359,2.13353890837022,6.41466428337072,6.06851317599568
Democratic Republic of the Congo,2712.35294117647,COD,9,Democratic Republic of the Congo,5. Low income,165535518.76613,354.583333333333,2.55094139681169,1,8.21889119680231,3.43350628857764
Denmark,358969.4375,DNK,178,Denmark,1. High income: OECD,422631.701528289,55835.8333333333,4.74692078023014,2.25285303097989,5.62596309788388,5.55505868434637
Djibouti,309.314285714286,DJI,0,Djibouti,4. Lower middle income,194.593916349525,2784.44444444444,3.44489450089928,0,2.29135534259412,2.49180176934528
