id,variable,shap_value,feature_value
1,x,0,11.55
1,y,0,43.85
1,wc2.1_10m_bio_1,-0.00196466666666668,11.6595802307129
1,wc2.1_10m_bio_12,0.14142,1325.08569335938
1,wc2.1_10m_bio_3,-0.0639066666666667,32.7515830993652
1,population_density,-0.008886,28.9913787841797
1,travel_time_to_cities_12,0.00939333333333333,7.91663122177124
1,GNI,-0.0126573333333333,1583697
1,FFI2020,-0.0782406666666667,0.944103002548218
1,timberImport,-0.211526,4154921.5
1,ForestAge_TC010,-0.00608466666666667,70.71728515625
1,LC_Type1,-0.0128033333333333,9
2,x,0,-115.15
2,y,0,43.85
2,wc2.1_10m_bio_1,-0.070232,1.98223543167114
2,wc2.1_10m_bio_12,-0.230423333333333,532.840026855469
2,wc2.1_10m_bio_3,-0.0414866666666667,41.630729675293
2,population_density,-0.0152606666666667,0.0656711086630821
2,travel_time_to_cities_12,-0.019694,178.942153930664
2,GNI,-0.0458546666666667,752.928466796875
2,FFI2020,0.004742,0.811530351638794
2,timberImport,0.00492266666666667,1700351.25
2,ForestAge_TC010,-0.0169666666666667,156.042465209961
2,LC_Type1,-0.00104133333333333,9
3,x,0,30.15
3,y,0,56.15
3,wc2.1_10m_bio_1,-0.0367753333333333,5.05813455581665
3,wc2.1_10m_bio_12,-0.191439333333333,640.94287109375
3,wc2.1_10m_bio_3,-0.0183053333333333,25.3260669708252
3,population_density,-0.0405526666666667,10.260630607605
3,travel_time_to_cities_12,-0.003102,41.2913665771484
3,GNI,-0.0356126666666667,178399.78125
3,FFI2020,-0.005998,0.590047478675842
3,timberImport,-0.109848,160933.265625
3,ForestAge_TC010,0.00590133333333334,49.3826522827149
3,LC_Type1,-0.00220866666666667,8
4,x,0,-109.55
4,y,0,56.25
4,wc2.1_10m_bio_1,-0.177046,-0.0611249804496765
4,wc2.1_10m_bio_12,-0.258023333333333,466.600006103516
4,wc2.1_10m_bio_3,0.00446533333333334,23.5696544647217
4,population_density,-0.0241126666666667,0.0112634161487222
4,travel_time_to_cities_12,-0.0219446666666667,282.303649902344
4,GNI,-0.0440206666666667,289.598114013672
4,FFI2020,7.33333333333274e-06,0.642967581748962
4,timberImport,-0.0294506666666667,4061534.5
4,ForestAge_TC010,-0.001464,67.4572219848633
4,LC_Type1,-0.00574933333333334,8
5,x,0,-136.05
5,y,0,63.85
5,wc2.1_10m_bio_1,-0.169238,-4.82661771774292
5,wc2.1_10m_bio_12,-0.185445333333333,337.519989013672
5,wc2.1_10m_bio_3,0.00935066666666668,23.4133472442627
5,population_density,-0.0233093333333333,0.00114984926767647
5,travel_time_to_cities_12,-0.016822,438.125061035156
5,GNI,-0.019466,31.8979377746582
5,FFI2020,-0.0104866666666667,0.473085165023804
5,timberImport,-0.015738,4061534.5
5,ForestAge_TC010,-0.0766333333333333,118.71614074707
5,LC_Type1,-0.003568,8
6,x,0,153.05
6,y,0,64.85
6,wc2.1_10m_bio_1,-0.214764,-12.0213012695313
6,wc2.1_10m_bio_12,-0.100170666666667,269.428558349609
6,wc2.1_10m_bio_3,0.0186746666666667,17.7217483520508
6,population_density,-0.0160126666666667,0.0360005088150501
6,travel_time_to_cities_12,-0.0268586666666667,2316.080078125
6,GNI,-0.0567373333333333,341.366180419922
6,FFI2020,-0.00360933333333333,0.448645681142807
6,timberImport,-0.057136,160933.265625
6,ForestAge_TC010,-0.0317166666666667,96.5720672607422
6,LC_Type1,-1.7999999999998e-05,7
7,x,0,33.55
7,y,0,64.45
7,wc2.1_10m_bio_1,-0.14152,1.10357213020325
7,wc2.1_10m_bio_12,-0.191863333333333,538.142883300781
7,wc2.1_10m_bio_3,0.00414266666666667,20.9289150238037
7,population_density,-0.016882,1.59488534927368
7,travel_time_to_cities_12,-0.0261973333333333,167.796096801758
7,GNI,-0.01532,69098.3828125
7,FFI2020,-0.01141,0.541430950164795
7,timberImport,-0.0755546666666667,160933.265625
7,ForestAge_TC010,-0.010288,154.917541503906
7,LC_Type1,-0.00195866666666667,8
8,x,0,-136.75
8,y,0,63.35
8,wc2.1_10m_bio_1,-0.160340666666667,-4.36762714385986
8,wc2.1_10m_bio_12,-0.300452,323.200012207031
8,wc2.1_10m_bio_3,-0.0178253333333333,24.39794921875
8,population_density,-0.0267446666666667,0.158245757222176
8,travel_time_to_cities_12,-0.0168913333333333,251.951263427734
8,GNI,-0.03424,13184.9140625
8,FFI2020,0.00964,0.482788771390915
8,timberImport,-0.0227826666666667,4061534.5
8,ForestAge_TC010,-0.04082,120.696426391602
8,LC_Type1,-0.00195866666666668,8
9,x,0,-107.25
9,y,0,44.55
9,wc2.1_10m_bio_1,-0.183037333333333,0.343491613864899
9,wc2.1_10m_bio_12,-0.23165,509.399993896484
9,wc2.1_10m_bio_3,-0.037044,36.2328720092773
9,population_density,-0.025042,0.0326166115701199
9,travel_time_to_cities_12,-0.02774,111.539222717285
9,GNI,-0.0348706666666667,2456.9091796875
9,FFI2020,0.000231999999999999,0.502529621124268
9,timberImport,0.003698,1700351.25
9,ForestAge_TC010,-0.0486506666666667,181.656448364258
9,LC_Type1,-0.000894000000000004,8
10,x,0,22.35
10,y,0,38.55
10,wc2.1_10m_bio_1,0.00129599999999999,11.5634746551514
10,wc2.1_10m_bio_12,-0.209336,772.371398925781
10,wc2.1_10m_bio_3,-0.0884513333333334,35.6867904663086
10,population_density,-0.008826,23.9329948425293
10,travel_time_to_cities_12,-0.00861533333333333,11.5583267211914
10,GNI,-0.007578,600444.5625
10,FFI2020,0.00311066666666667,0.735532820224762
10,timberImport,-0.178098666666667,189620.78125
10,ForestAge_TC010,0.0113553333333333,65.8953552246094
10,LC_Type1,-0.0169513333333333,10
11,x,0,-107.65
11,y,0,54.55
11,wc2.1_10m_bio_1,-0.131006,0.660262942314148
