id,variable,shap_value,feature_value
1,x,0,-56.45
1,y,0,-9.35000000000001
1,wc2.1_10m_bio_1,-0.05044,26.4885921478272
1,wc2.1_10m_bio_12,-0.02136,2167.080078125
1,wc2.1_10m_bio_3,-0.06492,66.8252716064453
1,population_density,-0.02352,0.0431732051074505
1,travel_time_to_cities_12,-0.08932,228.489654541016
1,GNI,-0.06156,117.031944274902
1,FFI2020,-0.00316,0.408437073230743
1,timberImport,-0.17904,28984.765625
1,ForestAge_TC010,-0.03444,270.834136962891
1,LC_Type1,0.01448,2
2,x,0,-92.85
2,y,0,17.15
2,wc2.1_10m_bio_1,-0.06104,20.1762447357178
2,wc2.1_10m_bio_12,-0.02372,1857.16003417969
2,wc2.1_10m_bio_3,-0.12376,65.6113586425781
2,population_density,0.0066,126.500389099121
2,travel_time_to_cities_12,-0.00896,49.5182304382324
2,GNI,0.00592,5127680
2,FFI2020,-0.00536,0.781172096729279
2,timberImport,-0.23852,38269.453125
2,ForestAge_TC010,0.00484,47.9679565429688
2,LC_Type1,0.0166,2
3,x,0,-92.85
3,y,0,38.05
3,wc2.1_10m_bio_1,-0.12912,13.150824546814
3,wc2.1_10m_bio_12,-0.03,1065.28002929687
3,wc2.1_10m_bio_3,-0.07456,32.6423950195313
3,population_density,-0.00476,54.4152145385742
3,travel_time_to_cities_12,-0.0256,36.0695533752441
3,GNI,0.00784,1477798.25
3,FFI2020,-0.14256,0.829170942306519
3,timberImport,0.07992,1700351.25
3,ForestAge_TC010,-0.02972,85.1090545654297
3,LC_Type1,-0.00404,8
4,x,0,-56.95
4,y,0,-25.65
4,wc2.1_10m_bio_1,-0.09852,21.908073425293
4,wc2.1_10m_bio_12,-0.01424,1533.80004882813
4,wc2.1_10m_bio_3,-0.01924,52.9994201660156
4,population_density,-0.0042,32.6534614562988
4,travel_time_to_cities_12,0.0042,25.7299251556397
4,GNI,0.00528,1727107.75
4,FFI2020,-0.0326,0.936727702617645
4,timberImport,-0.32692,722.612915039063
4,ForestAge_TC010,-0.01828,46.3212852478027
4,LC_Type1,-0.02128,9
5,x,0,-125.05
5,y,0,60.85
5,wc2.1_10m_bio_1,-0.14452,-5.03979587554932
5,wc2.1_10m_bio_12,-0.03516,540.599975585938
5,wc2.1_10m_bio_3,0.00828,24.33664894104
5,population_density,-0.06164,0.000113446549221408
5,travel_time_to_cities_12,-0.15052,2191.6875
5,GNI,-0.09412,3.14214468002319
5,FFI2020,0.00488,0.491906404495239
5,timberImport,0.02448,4061534.5
5,ForestAge_TC010,-0.01748,105.589508056641
5,LC_Type1,-0.000920000000000002,8
6,x,0,-71.85
6,y,0,-40.65
6,wc2.1_10m_bio_1,0.02936,6.60930585861206
6,wc2.1_10m_bio_12,0.00248,1555.68005371094
6,wc2.1_10m_bio_3,-0.03464,50.6947021484375
6,population_density,-0.000120000000000001,5.69668340682983
6,travel_time_to_cities_12,-0.13064,243.467864990234
6,GNI,-0.00748,974355.8125
6,FFI2020,0.00624,0.50699383020401
6,timberImport,-0.23868,39435.203125
6,ForestAge_TC010,-0.07304,188.678085327148
6,LC_Type1,-0.0046,5
7,x,0,-103.95
7,y,0,21.05
7,wc2.1_10m_bio_1,-0.03652,23.489595413208
7,wc2.1_10m_bio_12,0.000560000000000002,845.640014648438
7,wc2.1_10m_bio_3,-0.07776,63.8470840454102
7,population_density,-0.000760000000000003,9.56049060821533
7,travel_time_to_cities_12,-0.02908,56.5232925415039
7,GNI,0.00304,2445887.25
7,FFI2020,-0.02408,0.929722428321838
7,timberImport,-0.26876,38269.453125
7,ForestAge_TC010,0.00176,66.8437042236328
7,LC_Type1,-0.02044,9
8,x,0,-75.75
8,y,0,37.75
8,wc2.1_10m_bio_1,-0.08004,14.0931339263916
8,wc2.1_10m_bio_12,-0.04908,1012
8,wc2.1_10m_bio_3,-0.07256,31.6673164367676
8,population_density,-0.00332,31.0223731994629
8,travel_time_to_cities_12,-0.08288,17238.314453125
8,GNI,0.02748,1402002
8,FFI2020,-0.01808,0.453371077775955
8,timberImport,0.05656,1700351.25
8,ForestAge_TC010,-0.01632,63.503044128418
8,LC_Type1,-0.11836,17
9,x,0,-72.85
9,y,0,11.15
9,wc2.1_10m_bio_1,-0.08168,26.6893844604492
9,wc2.1_10m_bio_12,-0.00428,1109.76000976563
9,wc2.1_10m_bio_3,-0.0358,78.2986526489258
9,population_density,-0.00576,78.9204711914063
9,travel_time_to_cities_12,-0.03552,77.2979736328125
9,GNI,-0.00192,4075809.5
9,FFI2020,-0.01668,0.915063381195068
9,timberImport,-0.26136,2630.2353515625
9,ForestAge_TC010,-0.01032,94.6144866943359
9,LC_Type1,-0.03264,9
10,x,0,-60.85
10,y,0,-11.85
10,wc2.1_10m_bio_1,-0.0836,24.671817779541
10,wc2.1_10m_bio_12,-0.01508,1857.23999023438
10,wc2.1_10m_bio_3,-0.12064,68.7796936035156
10,population_density,-0.00392,1.37349426746368
10,travel_time_to_cities_12,-0.02968,76.0929565429688
10,GNI,0.0074,1035148.5625
10,FFI2020,0.00512,0.605905115604401
10,timberImport,-0.2864,28984.765625
10,ForestAge_TC010,-0.03928,294.039611816406
10,LC_Type1,0.02864,2
11,x,0,-70.65
11,y,0,1.64999999999999
11,wc2.1_10m_bio_1,-0.06012,26.0331153869629
11,wc2.1_10m_bio_12,-0.02168,3007.80004882813
11,wc2.1_10m_bio_3,-0.06104,80.0830230712891
11,population_density,-0.01336,1.10597240924835
11,travel_time_to_cities_12,-0.08588,3294.15551757813
11,GNI,-0.04844,3156.4853515625
11,FFI2020,0.000439999999999996,0.0124846138060093
11,timberImport,-0.1652,2630.2353515625
11,ForestAge_TC010,-0.02276,300
11,LC_Type1,0.00272000000000001,2
12,x,0,-88.25
12,y,0,15.65
