id,variable,shap_value,feature_value
1,x,0,21.55
1,y,0,44.15
1,wc2.1_10m_bio_1,-0.00415201123178619,9.19457912445068
1,wc2.1_10m_bio_12,-0.113951287249936,694.742858886719
1,wc2.1_10m_bio_3,-0.0362208617639569,33.6662940979004
1,population_density,-0.0317219341198981,29.7142562866211
1,travel_time_to_cities_12,-0.0563485113701561,31.1788444519043
1,GNI,-0.025059583656266,735920.75
1,FFI2020,0.000280644074112402,0.754658639431
1,timberImport,-0.0482262669232169,78016.3125
1,ForestAge_TC010,-0.021725711538503,50.8254356384277
1,LC_Type1,-0.0136141587103215,8
2,x,0,29.75
2,y,0,63.15
2,wc2.1_10m_bio_1,-0.0895974155840702,2.13501691818237
2,wc2.1_10m_bio_12,-0.101759360525778,660.799987792969
2,wc2.1_10m_bio_3,-0.0312908127777869,22.5701446533203
2,population_density,-0.0547468196499592,3.15093398094177
2,travel_time_to_cities_12,-0.0280350685859495,53.2325668334961
2,GNI,-0.0514615430915733,147955.0625
2,FFI2020,-0.0306163657628196,0.391547679901123
2,timberImport,0.000610405557672198,5768354
2,ForestAge_TC010,-0.00116419637734432,58.5250244140625
2,LC_Type1,-0.0081075889023762,5
3,x,0,46.25
3,y,0,60.85
3,wc2.1_10m_bio_1,-0.0757949355499614,1.73560106754303
3,wc2.1_10m_bio_12,-0.129703051084742,548.549987792969
3,wc2.1_10m_bio_3,-0.0411083179522822,20.8758220672607
3,population_density,-0.0462192892251801,7.56153631210327
3,travel_time_to_cities_12,-0.0381230466800493,24.8492946624756
3,GNI,-0.0280135383603107,1300092.75
3,FFI2020,-0.041672276517425,0.327741086483002
3,timberImport,-0.0307989603880474,160933.265625
3,ForestAge_TC010,-0.00506928313149636,75.205940246582
3,LC_Type1,-0.00594253096217335,5
4,x,0,17.55
4,y,0,44.05
4,wc2.1_10m_bio_1,-0.0547817463652147,7.52579736709595
4,wc2.1_10m_bio_12,-0.0500473377040464,983.571411132812
4,wc2.1_10m_bio_3,-0.067625204366456,36.8353309631348
4,population_density,-0.0301055223243183,74.7987899780274
4,travel_time_to_cities_12,-0.0240463502321479,15.0121049880981
4,GNI,-0.0688580204780569,699137.5
4,FFI2020,-0.0221777945103538,0.663276851177216
4,timberImport,-0.0509513160195493,61000.16796875
4,ForestAge_TC010,-0.0418339208793987,89.4824752807617
4,LC_Type1,-0.0131062279086043,8
5,x,0,-135.05
5,y,0,61.15
5,wc2.1_10m_bio_1,-0.0794407798138138,-1.7100875377655
5,wc2.1_10m_bio_12,-0.084503551233826,244.080001831055
5,wc2.1_10m_bio_3,-0.000285903832018858,26.7585620880127
5,population_density,-0.0359752328993776,0.521066188812256
5,travel_time_to_cities_12,-0.0317278373668953,187.141006469727
5,GNI,-0.0483219535671038,13105.642578125
5,FFI2020,-0.0283447267632576,0.398846387863159
5,timberImport,-0.0210102223655037,4061534.5
5,ForestAge_TC010,-0.0442594230028383,125.13240814209
5,LC_Type1,-0.013349322402985,8
6,x,0,-154.45
6,y,0,61.05
6,wc2.1_10m_bio_1,-0.0599038308402371,-1.25166881084442
