ISO_A3,NAME_LONG.x,INCOME_GRP.x,CONTINENT,SUBREGION,Area,meanValue,richness,NAME_LONG.y,INCOME_GRP.y,area,GNI,total_richness,total_records,log10_total_richness,log10_total_records,richness_for_model,log_Richness,log_GNI,log_forestArea,log_import,Residuals,Std_Residuals
FJI,Fiji,4. Lower middle income,Oceania,Melanesia,Fiji,1158.17391304348,18,Fiji,4. Lower middle income,1106565.17628999,3961.25,13,109,1.14612803567824,2.04139268515823,13,1.14612803567824,3.59794187407864,6.04397739127565,3.06414859887034,0.00301271913193964,0.00959561426294512
TZA,Tanzania,5. Low income,Africa,Eastern Africa,United Republic of Tanzania,6435,25,Tanzania,5. Low income,21368267.4235117,774.583333333333,26,178,1.43136376415899,2.25285303097989,26,1.43136376415899,2.88962846786523,7.32976933055982,3.80861603542699,0.0664736458446289,0.211720852904738
ESH,Western Sahara,5. Low income,Africa,Northern Africa,,,,,,,,,,,,,,,,,,
CAN,Canada,1. High income: OECD,North America,Northern America,Canada,4061534.578125,264,Canada,1. High income: OECD,312272578.51754,41735,192,47069,2.28555730900777,4.6727441983066,192,2.28555730900777,4.62051082371432,8.49453385074621,6.6086902619076,-0.361883692678179,-1.15261203282309
USA,United States,1. High income: OECD,North America,Northern America,United States of America,1700351.234375,651,United States,1. High income: OECD,240346688.730873,53742.0833333333,575,327222,2.76042248342321,5.51484382196147,575,2.76042248342321,4.73032257903499,8.38083814501463,6.23053889643698,0.17807215355872,0.567165946007487
KAZ,Kazakhstan,3. Upper middle income,Asia,Central Asia,Kazakhstan,129635.40625,22,Kazakhstan,3. Upper middle income,3511594.3196731,6676.25,14,48,1.17609125905568,1.69019608002851,14,1.17609125905568,3.82459763676784,6.54550446151671,5.11272698311744,-0.529849635805584,-1.68758935031524
UZB,Uzbekistan,4. Lower middle income,Asia,Central Asia,Uzbekistan,190982.125,31,Uzbekistan,4. Lower middle income,105201.421500055,1635.41666666667,10,192,1.04139268515822,2.28555730900777,10,1.04139268515822,3.21389389407524,5.0220257363197,5.28099499529406,-0.184591525617997,-0.587930370694221
PNG,Papua New Guinea,4. Lower middle income,Oceania,Melanesia,Papua New Guinea,97.5142857142857,63,Papua New Guinea,4. Lower middle income,37747099.6197492,1701.66666666667,61,503,1.79239168949825,2.70243053644553,61,1.79239168949825,3.23112963387172,7.57688359879429,1.9934992128024,0.617912122099607,1.96807140407022
IDN,Indonesia,4. Lower middle income,Asia,South-Eastern Asia,Indonesia,215312.114285714,64,Indonesia,4. Lower middle income,133745605.249747,2655,67,1278,1.83250891270624,3.10687054447865,67,1.83250891270624,3.42422807069598,8.12627952368143,5.3330704826264,-0.149650983566234,-0.476643540099072
ARG,Argentina,3. Upper middle income,South America,South America,Argentina,39435.203125,71,Argentina,3. Upper middle income,25471404.0809179,9103.75,63,4767,1.80617997398389,3.67833624673218,63,1.80617997398389,3.95926802535213,7.4060529026416,4.59589509487874,-0.0309063135621747,-0.0984376738236873
