ISO_A3,NAME_LONG,INCOME_GRP,CONTINENT,SUBREGION,total_richness,total_records,log10_total_richness,log10_total_records
FJI,Fiji,4. Lower middle income,Oceania,Melanesia,13,109,1.14612803567824,2.04139268515823
TZA,Tanzania,5. Low income,Africa,Eastern Africa,26,178,1.43136376415899,2.25285303097989
ESH,Western Sahara,5. Low income,Africa,Northern Africa,,,,
CAN,Canada,1. High income: OECD,North America,Northern America,192,47069,2.28555730900777,4.6727441983066
USA,United States,1. High income: OECD,North America,Northern America,575,327222,2.76042248342321,5.51484382196147
KAZ,Kazakhstan,3. Upper middle income,Asia,Central Asia,14,48,1.17609125905568,1.69019608002851
UZB,Uzbekistan,4. Lower middle income,Asia,Central Asia,10,192,1.04139268515822,2.28555730900777
PNG,Papua New Guinea,4. Lower middle income,Oceania,Melanesia,61,503,1.79239168949825,2.70243053644553
IDN,Indonesia,4. Lower middle income,Asia,South-Eastern Asia,67,1278,1.83250891270624,3.10687054447865
ARG,Argentina,3. Upper middle income,South America,South America,63,4767,1.80617997398389,3.67833624673218
CHL,Chile,3. Upper middle income,South America,South America,46,3976,1.67209785793572,3.59955559098598
COD,Democratic Republic of the Congo,5. Low income,Africa,Middle Africa,11,32,1.07918124604762,1.51851393987789
SOM,Somalia,5. Low income,Africa,Eastern Africa,2,8,0.477121254719662,0.954242509439325
KEN,Kenya,5. Low income,Africa,Eastern Africa,48,262,1.69019608002851,2.41995574848976
SDN,Sudan,4. Lower middle income,Africa,Northern Africa,4,20,0.698970004336019,1.32221929473392
TCD,Chad,5. Low income,Africa,Middle Africa,4,17,0.698970004336019,1.25527250510331
HTI,Haiti,5. Low income,North America,Caribbean,10,22,1.04139268515822,1.36172783601759
DOM,Dominican Republic,3. Upper middle income,North America,Caribbean,32,265,1.51851393987789,2.42488163663107
RUS,Russian Federation,3. Upper middle income,Europe,Eastern Europe,155,4505,2.19312459835446,3.65379118738781
BHS,Bahamas,2. High income: nonOECD,North America,Caribbean,5,7,0.778151250383644,0.903089986991944
FLK,Falkland Islands / Malvinas,1. High income: OECD,South America,South America,,,,
NOR,Norway,1. High income: OECD,Europe,Northern Europe,84,3491,1.92941892571429,3.54307423503353
GRL,Greenland,2. High income: nonOECD,North America,Northern America,1,1,0.301029995663981,0.301029995663981
ATF,French Southern and Antarctic Lands,2. High income: nonOECD,Seven seas (open ocean),Seven seas (open ocean),1,26,0.301029995663981,1.43136376415899
TLS,Timor-Leste,4. Lower middle income,Asia,South-Eastern Asia,5,30,0.778151250383644,1.49136169383427
ZAF,South Africa,3. Upper middle income,Africa,Southern Africa,97,2815,1.9912260756925,3.44963265047007
LSO,Lesotho,4. Lower middle income,Africa,Southern Africa,3,4,0.602059991327962,0.698970004336019
MEX,Mexico,3. Upper middle income,North America,Central America,195,14100,2.29225607135648,4.14924991259028
URY,Uruguay,3. Upper middle income,South America,South America,24,134,1.39794000867204,2.13033376849501
BRA,Brazil,3. Upper middle income,South America,South America,148,4630,2.17318626841227,3.66567478099389
BOL,Bolivia,4. Lower middle income,South America,South America,27,232,1.44715803134222,2.36735592102602
PER,Peru,3. Upper middle income,South America,South America,48,628,1.69019608002851,2.79865064544527
COL,Colombia,3. Upper middle income,South America,South America,97,9504,1.9912260756925,3.97795212120146
PAN,Panama,3. Upper middle income,North America,Central America,27,154,1.44715803134222,2.19033169817029
CRI,Costa Rica,3. Upper middle income,North America,Central America,60,531,1.78532983501077,2.72591163229505
NIC,Nicaragua,4. Lower middle income,North America,Central America,20,194,1.32221929473392,2.29003461136252
HND,Honduras,4. Lower middle income,North America,Central America,33,191,1.53147891704226,2.28330122870355
SLV,El Salvador,4. Lower middle income,North America,Central America,20,57,1.32221929473392,1.76342799356294
GTM,Guatemala,4. Lower middle income,North America,Central America,36,167,1.568201724067,2.22530928172586
BLZ,Belize,4. Lower middle income,North America,Central America,12,52,1.11394335230684,1.72427586960079
VEN,Venezuela,3. Upper middle income,South America,South America,39,190,1.60205999132796,2.28103336724773
GUY,Guyana,4. Lower middle income,South America,South America,8,15,0.954242509439325,1.20411998265592
SUR,Suriname,3. Upper middle income,South America,South America,11,17,1.07918124604762,1.25527250510331
