type,ISO_A3,richness,recordCount,country_total_richness,referenceRichness,global_target_richness,global_reference_richness,global_focal_ref_ratio,country_focal_ref_ratio,SRR,log10_SRR,country_total_records,referenceRecords,reliable_srr,log10_SRR_filtered,log10_SRR_plot
Fauna,AFG,2,3,9,7,7047,2978,2.36612388786302,0.333333333333333,0.140877379685468,-0.851158734828439,36,33,FALSE,,
Fauna,AGO,5,8,6,1,7047,2978,2.36612388786302,3.66666666666667,1.54965117654014,0.190233950329786,9,1,FALSE,,
Fauna,ALB,18,162,19,1,7047,2978,2.36612388786302,12.3333333333333,5.2124630483623,0.717042989238556,163,1,FALSE,,
Fauna,ARE,9,20,10,1,7047,2978,2.36612388786302,6.33333333333333,2.67667021402389,0.42759486612439,22,2,FALSE,,
Fauna,ARG,47,4654,63,16,7047,2978,2.36612388786302,2.87878787878788,1.21666827910177,0.0851721853021839,4767,113,TRUE,0.0851721853021839,0.0851721853021839
Fauna,ARM,8,111,9,1,7047,2978,2.36612388786302,5.66666666666667,2.39491545465295,0.379290186549835,112,1,FALSE,,
Fauna,ATF,0,0,1,1,7047,2978,2.36612388786302,0.333333333333333,0.140877379685468,-0.851158734828439,26,26,FALSE,,
Fauna,AUS,154,79967,334,180,7047,2978,2.36612388786302,0.85595567867036,0.361754379413929,-0.4415862025896,291528,211561,TRUE,-0.4415862025896,-0.4415862025896
Fauna,AUT,283,22382,400,117,7047,2978,2.36612388786302,2.41276595744681,1.01971243763821,0.00847771651239383,45069,22687,TRUE,0.00847771651239383,0.00847771651239383
Fauna,AZE,4,5,4,0,7047,2978,2.36612388786302,9,3.80368925150763,0.580205029330549,5,0,FALSE,,
Fauna,BDI,1,1,6,5,7047,2978,2.36612388786302,0.272727272727273,0.115263310651746,-0.938308910547339,13,12,FALSE,,
Fauna,BEL,141,223870,177,36,7047,2978,2.36612388786302,3.87671232876712,1.63842322401318,0.214426095295058,225569,1699,TRUE,0.214426095295058,0.214426095295058
Fauna,BEN,17,361,59,42,7047,2978,2.36612388786302,0.411764705882353,0.174024998434989,-0.759388361472793,3844,3483,TRUE,-0.759388361472793,-0.759388361472793
Fauna,BFA,3,7,10,7,7047,2978,2.36612388786302,0.466666666666667,0.197228331559655,-0.705030699150201,42,35,FALSE,,
Fauna,BGD,24,8168,24,0,7047,2978,2.36612388786302,49,20.7089748137637,1.31615859991974,8168,0,FALSE,,
Fauna,BGR,58,375,61,3,7047,2978,2.36612388786302,16.7142857142857,7.06399432422845,0.849050341623128,384,9,FALSE,,
Fauna,BHS,4,6,5,1,7047,2978,2.36612388786302,3,1.26789641716921,0.103083774610886,7,1,FALSE,,
Fauna,BIH,16,67,17,1,7047,2978,2.36612388786302,11,4.64895352962043,0.667355205049449,68,1,FALSE,,
Fauna,BLR,20,238,30,10,7047,2978,2.36612388786302,1.95238095238095,0.825138938157739,-0.0834729181229602,274,36,TRUE,-0.0834729181229602,-0.0834729181229602
Fauna,BLZ,9,28,12,3,7047,2978,2.36612388786302,2.71428571428571,1.14714437743881,0.0596180808297957,52,24,TRUE,0.0596180808297957,0.0596180808297957
Fauna,BOL,19,201,27,8,7047,2978,2.36612388786302,2.29411764705882,0.969567848423513,-0.0134217944605511,232,31,TRUE,-0.0134217944605511,-0.0134217944605511
Fauna,BRA,80,3588,148,68,7047,2978,2.36612388786302,1.17518248175182,0.496669886044386,-0.303932171233333,4630,1042,TRUE,-0.303932171233333,-0.303932171233333
Fauna,BRN,5,9,7,2,7047,2978,2.36612388786302,2.2,0.929790705924087,-0.0316147992865702,12,3,FALSE,,
Fauna,BTN,8,16,12,4,7047,2978,2.36612388786302,1.88888888888889,0.798305151550983,-0.0978310681698273,27,11,TRUE,-0.0978310681698273,-0.0978310681698273
Fauna,BWA,16,163,21,5,7047,2978,2.36612388786302,3,1.26789641716921,0.103083774610886,179,16,TRUE,0.103083774610886,0.103083774610886
Fauna,CAF,2,3,6,4,7047,2978,2.36612388786302,0.555555555555556,0.234795632809113,-0.629309985212083,132,129,FALSE,,
Fauna,CAN,133,33574,192,59,7047,2978,2.36612388786302,2.2436974789916,0.948258664941677,-0.0230731801367319,47069,13495,TRUE,-0.0230731801367319,-0.0230731801367319
Fauna,CHE,122,27666,170,48,7047,2978,2.36612388786302,2.52577319587629,1.06747292854452,0.0283568699895112,29082,1416,TRUE,0.0283568699895112,0.0283568699895112
Fauna,CHL,31,3791,46,15,7047,2978,2.36612388786302,2.03225806451613,0.858897572921077,-0.0660586244894674,3976,185,TRUE,-0.0660586244894674,-0.0660586244894674
Fauna,CHN,159,11062,243,84,7047,2978,2.36612388786302,1.88757396449704,0.79774942224256,-0.0981335016652688,11624,562,TRUE,-0.0981335016652688,-0.0981335016652688
Fauna,CIV,28,77,44,16,7047,2978,2.36612388786302,1.72727272727273,0.73000096746106,-0.136676564314173,194,117,TRUE,-0.136676564314173,-0.136676564314173
Fauna,CMR,15,37,23,8,7047,2978,2.36612388786302,1.82352941176471,0.770682135926382,-0.113124707652778,112,75,TRUE,-0.113124707652778,-0.113124707652778
Fauna,COD,4,6,11,7,7047,2978,2.36612388786302,0.6,0.253579283433842,-0.595886229725133,32,26,FALSE,,
Fauna,COG,5,5,8,3,7047,2978,2.36612388786302,1.57142857142857,0.664136218517205,-0.177742834964808,44,39,FALSE,,
Fauna,COL,59,9236,97,38,7047,2978,2.36612388786302,1.54545454545455,0.653158760359896,-0.184981243888728,9504,268,TRUE,-0.184981243888728,-0.184981243888728
Fauna,CRI,40,425,60,20,7047,2978,2.36612388786302,1.97560975609756,0.834956177160211,-0.0783363179498622,531,106,TRUE,-0.0783363179498622,-0.0783363179498622
Fauna,CUB,10,60,25,15,7047,2978,2.36612388786302,0.67741935483871,0.286299190973692,-0.54317987920913,100,40,TRUE,-0.54317987920913,-0.54317987920913
Fauna,CYP,20,99,25,5,7047,2978,2.36612388786302,3.72727272727273,1.57526524557387,0.197353691452734,105,6,FALSE,,
Fauna,CZE,63,1865,101,38,7047,2978,2.36612388786302,1.64935064935065,0.697068592989132,-0.156724484325301,2202,337,TRUE,-0.156724484325301,-0.156724484325301
Fauna,DEU,293,48997,401,108,7047,2978,2.36612388786302,2.70506912442396,1.14324915035073,0.0581408872903086,59198,10201,TRUE,0.0581408872903086,0.0581408872903086
Fauna,DNK,102,2667,145,43,7047,2978,2.36612388786302,2.35632183908046,0.995857339155892,-0.00180287167164067,2975,308,TRUE,-0.00180287167164067,-0.00180287167164067
Fauna,DOM,24,178,32,8,7047,2978,2.36612388786302,2.88235294117647,1.21817498904493,0.0857096785414633,265,87,TRUE,0.0857096785414633,0.0857096785414633
Fauna,DZA,30,125,32,2,7047,2978,2.36612388786302,12.2,5.15611209648812,0.712322350565972,127,2,FALSE,,
Fauna,ECU,27,1290,37,10,7047,2978,2.36612388786302,2.61904761904762,1.10689369752867,0.0441059146515482,1354,64,TRUE,0.0441059146515482,0.0441059146515482
Fauna,EGY,12,30,16,4,7047,2978,2.36612388786302,2.77777777777778,1.17397816404556,0.0696600191239363,36,6,FALSE,,
Fauna,ERI,0,0,1,1,7047,2978,2.36612388786302,0.333333333333333,0.140877379685468,-0.851158734828439,2,2,FALSE,,
